branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.6947;251748.2911;240455.95769999997;229195.6225;217967.2193;206770.6793;195464.8936;184206.98349999997;172996.7967;161834.17849999998;150718.975;139651.0348;128630.2046;117675.7607;106788.77480000001;95951.07579999999;85162.34520000001;74422.677;63731.6624;53089.4496;42495.6078;31949.7019;21703.0469;12876.3215;4067.4732;7458.109699999999;10860.9905;14275.552800000001;17699.7243;20702.4294;23498.8157;26314.2009;29078.8448;31734.0733;34222.4981;36580.7641;38812.3829;40941.552899999995;42965.611999999994;44860.2374;46600.8787
01;01;01;02;3091525.3322;3112179.2686000005;3153991.5442000004;3222860.909;3261480.1152999997;3246928.424400001;3212558.7198;3187649.4708000002;3162214.8547;3135648.495;3105707.4721999997;3073231.4902;3039365.4064;3004369.9572;2975629.6085;2944723.6898;2909871.363;2873827.393;2839130.6704;2803352.5019;2761479.5278;2718617.0346999997;2668947.7280999995;2617494.1277;2564465.1070000003;2510948.9027;2439468.2905;2346290.9784000004;2226472.1373;2131675.3304;2084065.78;2051941.9761;2008161.6625;1962676.8654999998;1916527.3001;1871425.3074999999;1824872.1218999997;1778278.4292999997;1732057.5252999999;1678951.8401;1627158.7561;1577980.4203000003
01;01;01;03;1317058.389;1262555.3521;1208206.5485999999;1154011.6570000001;1099970.335;1046082.2621;992347.1083;938087.6568;884057.9727;830257.324;776684.9697;723340.1724;670222.2048000001;617330.3296;564663.8231;512221.95420000004;460004.00020000007;408009.24199999997;356236.9512;304686.42389999994;253356.9072;202247.7244;151358.1518;100687.4829;50234.999599999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.141;3670474.5311;3698920.7009;3700093.3654;3731300.2657999992;3815462.6046;3919227.9739;4008126.2112;4097240.114;4187177.0878000003;4280181.0931;4375413.463500001;4471730.3632;4568872.0916;4659435.4516;4751841.2084;4847889.2814;4944826.0887;5040113.5146;5136181.505900001;5238044.188000002;5340596.532599999;5449656.7258;5559951.896300001;5670156.365800001;5780516.048899999;5830687.6656;5902582.442;6001145.698799999;6074715.8535;6101558.6684;6112644.0691;6135356.1091;6159851.401;6185151.2187;6209237.072900001;6234941.160100001;6260720.520300001;6286264.502200001;6318840.356500001;6350285.2141;6379326.323999999
01;01;01;06;414923.19060000003;397752.6732;380630.7453;363557.30509999994;346532.2452;329555.4648000001;312626.8597;295533.0808;278511.68720000004;261562.4488;244685.13169999997;227879.50360000003;211145.33499999996;194482.39429999996;177890.45380000005;161369.2824;144918.65240000002;128538.33769999999;112228.1082;95987.74379999998;79817.00460000001;63715.680499999995;47682.5729;31718.601599999998;15824.348;67.4407;67.295;67.1496;67.0046;66.8599;66.7155;582.9175;1148.2883;1723.8334;2307.1733;3261.7337;4217.3679;5302.7648;6390.998;7474.9671;8544.3877;9594.3383
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.71060000002;137680.49569999997;130935.46230000001;124209.5697;117418.05170000001;110655.29329999999;103921.20240000001;97215.6868;90538.6537;83890.0124;77269.6706;70677.5379;64113.5225;57588.0757;51091.138300000006;44632.8487;38203.4193;31802.894599999996;25430.4565;19087.006;12772.287400000001;6486.5904;389.63739999999996;418.472;445.111;472.0749;499.45579999999995;527.0826000000001;554.9119;583.1628000000001;611.803;662.9964;725.6255;1436.4850999999999;2118.8678000000004;2813.7115;3522.1122;4321.7676;5171.1576000000005
01;01;02;02;2704966.9641;2706180.7475;2721998.1858000006;2756364.0053000003;2770527.5638;2764225.8215999994;2751811.4411000004;2742553.0321;2733628.2252;2727002.4694;2719936.5068;2712428.914;2704508.0184000004;2696248.1262999997;2687676.0038;2678816.3712;2669690.4989;2664598.3112999997;2659090.6341;2652233.6893;2646839.1182999997;2639626.8616;2631442.7365999995;2624726.3418000005;2617545.3358;2609462.5347;2596357.9170000004;2568241.8507999997;2521564.0637000003;2490748.8041999997;2476734.1489999997;2466859.9510000004;2450553.4809000003;2432008.4935000003;2407830.0914;2382078.4468;2352221.8677000003;2323504.7605999997;2293673.3457000004;2262208.2547;2229088.7958;2194826.8301000004
01;01;02;03;998485.8363;957166.0961000001;915963.2830999999;874877.1535;833907.4477000001;793053.9228000001;752316.3289;711181.2551;670220.3722;629433.1257;588818.9532999999;548377.2971999999;508107.6026;468009.31250000006;428081.8797;388324.7481999999;348737.3701;309319.20160000003;270069.68809999997;230988.30109999998;192074.4645;153327.6673;114747.36140000001;76333.00799999999;38084.0657;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.834;2822635.2572;2856146.1597;2870955.1445000004;2905813.2073;2960983.7162;3022114.348200001;3075738.5978000006;3128810.649;3179365.7831;3230143.9961;3281147.4470000006;3332348.5359;3383673.6902;3435096.8629999994;3486594.0643;3538134.2043000003;3585428.0405;3632915.2478;3681539.9968999997;3728491.2682000003;3777049.3916;3826369.188;3874011.4041999998;3921907.6178;3970339.4783;3969202.0459;3983108.9634999996;4015607.9124999996;4032274.4850000003;4032170.7018;4027956.6972000003;4030204.9094000002;4034721.5551;4044879.308200001;4056629.0357;4071865.5848000003;4086021.1853000005;4101308.6107;4118246.0656000003;4136776.4814;4156429.4516999996
01;01;02;06;273040.8814;261741.79439999998;250474.68180000002;239239.4768;228036.1085;216864.51069999998;205724.6148;194476.0257;183275.07;172121.5958;161015.4498;149956.4787;138944.5322;127979.45679999999;117061.1033;106189.3196;95363.9554;84584.8626;73851.8894;63164.8912;52523.1082;41926.203700000005;31374.343599999997;20869.926;10412.026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
