COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.4662999986
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799997
01;2009;01;Cuisson;03;4543555.603300001
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599994
01;2009;02;Autre;01;37627572.612100005
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700003
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.82629999
01;2009;02;Froid_alimentaire;02;25667148.3698
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.90299998
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.2022
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.092
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500005
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;48217633.65450001
01;2010;01;Autre;02;1239409363.73
01;2010;01;Autre;04;2906311.4513000003
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15520027.2919
01;2010;01;Cuisson;02;131383765.87699997
01;2010;01;Cuisson;04;70183914.4013
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;36319137.409799986
01;2010;02;Autre;02;933336269.8099998
01;2010;02;Autre;04;2179711.9172000005
01;2010;02;Bureautique;02;1451233146.7399998
01;2010;02;Cuisson;01;11895716.137100002
01;2010;02;Cuisson;02;98944065.633
01;2010;02;Cuisson;04;52637987.7892
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;104081050.07800004
01;2010;03;Autre;02;2667450815.17
01;2010;03;Autre;04;5947629.640000001
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;40610155.55859999
01;2010;03;Cuisson;02;282956926.54800004
01;2010;03;Cuisson;04;143648083.757
01;2010;03;Froid_alimentaire;02;72761369.98249999
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917611.9928999995
01;2010;04;Autre;02;72267636.401
01;2010;04;Autre;04;170672.7898
01;2010;04;Bureautique;02;123791808.11689997
01;2010;04;Cuisson;01;618169.6863
01;2010;04;Cuisson;02;4207289.685700001
01;2010;04;Cuisson;04;2351681.8562000003
01;2010;04;Froid_alimentaire;02;1545724.7392
01;2010;04;Process;02;1595910.6069999998
01;2011;01;Autre;01;46540945.9305
01;2011;01;Autre;02;1239328527.97
01;2011;01;Autre;04;2805249.3103999994
01;2011;01;Bureautique;02;1943638451.3199997
01;2011;01;Cuisson;01;14463008.7806
01;2011;01;Cuisson;02;135153558.71999997
01;2011;01;Cuisson;04;67158517.7033
01;2011;01;Froid_alimentaire;02;33533904.69849999
01;2011;01;Process;02;27291940.215899996
01;2011;02;Autre;01;35056199.921000004
01;2011;02;Autre;02;933275597.48
01;2011;02;Autre;04;2103915.919
01;2011;02;Bureautique;02;1463655721.2000003
01;2011;02;Cuisson;01;11085538.6659
01;2011;02;Cuisson;02;101787883.66700003
01;2011;02;Cuisson;04;50368938.098400004
01;2011;02;Froid_alimentaire;02;25252685.6697
01;2011;02;Process;02;20552178.163
01;2011;03;Autre;01;100461786.13000003
01;2011;03;Autre;02;2667276933.58
01;2011;03;Autre;04;5740810.050400001
01;2011;03;Bureautique;02;4183088267.4900002
01;2011;03;Cuisson;01;37844328.33480001
01;2011;03;Cuisson;02;291242085.97600013
01;2011;03;Cuisson;04;137455855.43400002
01;2011;03;Froid_alimentaire;02;72171504.4889
01;2011;03;Process;02;58737577.6642
01;2011;04;Autre;01;5781705.825999999
01;2011;04;Autre;02;145721552.38199997
01;2011;04;Autre;04;338214.9403999999
01;2011;04;Bureautique;02;250677232.25500003
01;2011;04;Cuisson;01;1204394.8539
01;2011;04;Cuisson;02;8616843.7731
01;2011;04;Cuisson;04;4640630.2358
01;2011;04;Froid_alimentaire;02;3104315.5704
01;2011;04;Process;02;3215744.391099999
01;2012;01;Autre;01;44922563.29799999
01;2012;01;Autre;02;1239188665.98
01;2012;01;Autre;04;2707701.5834000013
01;2012;01;Bureautique;02;1960276151.26
01;2012;01;Cuisson;01;13477981.906699998
01;2012;01;Cuisson;02;138721402.227
01;2012;01;Cuisson;04;64263536.9597
01;2012;01;Froid_alimentaire;02;33262055.426100004
01;2012;01;Process;02;27252638.959699996
01;2012;02;Autre;01;33837177.924499996
01;2012;02;Autre;02;933170328.15
01;2012;02;Autre;04;2030755.7334
01;2012;02;Bureautique;02;1476184667.16
01;2012;02;Cuisson;01;10330539.2995
01;2012;02;Cuisson;02;104479040.00600001
01;2012;02;Cuisson;04;48197697.91050001
01;2012;02;Froid_alimentaire;02;25047969.9161
01;2012;02;Process;02;20522582.8457
01;2012;03;Autre;01;96968373.11400001
01;2012;03;Autre;02;2666975567.2300005
01;2012;03;Autre;04;5541182.3064
01;2012;03;Bureautique;02;4218894490.48
01;2012;03;Cuisson;01;35266869.7587
01;2012;03;Cuisson;02;299072900.13799995
01;2012;03;Cuisson;04;131530562.80399998
01;2012;03;Froid_alimentaire;02;71586419.98120002
01;2012;03;Process;02;58652988.1606
01;2012;04;Autre;01;8545066.3215
01;2012;04;Autre;02;220430415.112
01;2012;04;Autre;04;499864.4478999999
01;2012;04;Bureautique;02;381350836.155
01;2012;04;Cuisson;01;1739887.4958000001
01;2012;04;Cuisson;02;13296137.193899998
01;2012;04;Cuisson;04;6819942.256100001
01;2012;04;Froid_alimentaire;02;4670802.261900001
01;2012;04;Process;02;4859897.3811
01;2013;01;Autre;01;43360456.4257
01;2013;01;Autre;02;1238991977.7900002
01;2013;01;Autre;04;2613545.7269000006
01;2013;01;Bureautique;02;1977056037.3899999
01;2013;01;Cuisson;01;12560041.314400002
01;2013;01;Cuisson;02;142097822.00300002
01;2013;01;Cuisson;04;61493345.3264
01;2013;01;Froid_alimentaire;02;32992410.175199997
01;2013;01;Process;02;27213393.915000003
01;2013;02;Autre;01;32660546.370100003
01;2013;02;Autre;02;933022253.13
01;2013;02;Autre;04;1960139.3550000004
01;2013;02;Bureautique;02;1488820740.79
01;2013;02;Cuisson;01;9626961.329
01;2013;02;Cuisson;02;107025529.99200001
01;2013;02;Cuisson;04;46120053.223699994
01;2013;02;Froid_alimentaire;02;24844913.756300002
01;2013;02;Process;02;20493030.3174
01;2013;03;Autre;01;93596441.29100002
01;2013;03;Autre;02;2666551330.5600004
01;2013;03;Autre;04;5348495.4279000005
01;2013;03;Bureautique;02;4255007174.7300005
01;2013;03;Cuisson;01;32864953.0886
01;2013;03;Cuisson;02;306473723.66200006
01;2013;03;Cuisson;04;125860675.38299997
01;2013;03;Froid_alimentaire;02;71006073.95249999
01;2013;03;Process;02;58568506.595
01;2013;04;Autre;01;11194583.341500001
01;2013;04;Autre;02;296427089.93899995
01;2013;04;Autre;04;654854.3799999999
01;2013;04;Bureautique;02;516119231.7039999
01;2013;04;Cuisson;01;2221367.6188000003
01;2013;04;Cuisson;02;18262149.818900004
01;2013;04;Cuisson;04;8877728.1092
01;2013;04;Froid_alimentaire;02;6243603.8603
01;2013;04;Process;02;6528773.350799998
01;2014;01;Autre;01;41852668.4616
01;2014;01;Autre;02;1238740224.71
01;2014;01;Autre;04;2522664.0423999997
01;2014;01;Bureautique;02;1993979729.9299998
01;2014;01;Cuisson;01;11704619.1305
01;2014;01;Cuisson;02;145292759.138
01;2014;01;Cuisson;04;58842570.10599999
01;2014;01;Froid_alimentaire;02;32724951.849099994
01;2014;01;Process;02;27174205.608699996
01;2014;02;Autre;01;31524828.736700002
01;2014;02;Autre;02;932832595.2199999
01;2014;02;Autre;04;1891978.6471999998
01;2014;02;Bureautique;02;1501564829.17
01;2014;02;Cuisson;01;8971300.127000004
01;2014;02;Cuisson;02;109434867.12699999
01;2014;02;Cuisson;04;44131972.132
01;2014;02;Froid_alimentaire;02;24643502.678700007
01;2014;02;Process;02;20463521.0943
01;2014;03;Autre;01;90341764.82499999
01;2014;03;Autre;02;2666009016.3800006
01;2014;03;Autre;04;5162509.264200001
01;2014;03;Bureautique;02;4291429363.0099998
01;2014;03;Cuisson;01;30626624.6263
01;2014;03;Cuisson;02;313467529.909
01;2014;03;Cuisson;04;120435214.53799999
01;2014;03;Froid_alimentaire;02;70430438.20680001
01;2014;03;Process;02;58484156.008399986
