branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.6947;251748.2911;240455.95759999997;229195.6224;217967.2191;206770.67919999998;195464.8933;184206.9835;172996.6213;161862.5572;150778.2217;139742.6865;128782.7044;117873.6761;107014.5459;96201.5634;85433.0456;74714.0789;64039.03109999999;53426.48820000001;45152.03600000001;38462.2861;32635.3135;26852.4882;23851.1483;33768.3811;43758.8361;53662.41309999999;63300.1314;72464.4642;81123.1202;90491.7683;99844.62499999999;108334.7457;115807.652;121777.09599999999;127044.67;131447.4229;135085.15529999998;135949.84769999998;136598.44669999997
01;01;01;02;3091525.3322;3112179.2686000005;3153991.546;3222860.9015000006;3261480.1078000003;3243637.8568;3199566.8570000003;3137569.3280999996;3068970.2628999995;3009757.0544;2943575.9759;2875359.3918000003;2806855.5142;2742419.8139;2674825.2528999997;2608062.721;2540329.1433;2473489.2249;2408457.8807;2347524.8001999995;2291401.8131;2238169.9332;2194576.9095;2158549.0127;2129161.9323;2107988.8303;2066282.1768000002;2011471.6336999997;1939678.9374999998;1904984.0359;1933162.7248;1997433.7832999998;2098194.5948;2229420.7346;2372698.4407;2536378.3443;2712701.7499;2890549.2947000004;3063213.1052;3235449.5998;3409564.665;3585025.7037000004
01;01;01;03;1317058.389;1262555.3521;1208206.5486;1154011.6571;1099970.3351;1046082.2621;992347.1084;938087.6567999999;884057.9728;830257.3241999999;776684.9702999999;723340.173;670222.2049;617330.3285000001;564663.8232;512221.9541;460003.9988;408009.2409;356236.9493;304686.4251;253356.9066;202247.7239;151358.1494;100687.48300000001;50234.999200000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.141;3670474.5311;3698920.6991;3700093.3729000003;3731300.2731;3818753.1722999997;3932219.8365000007;4058206.3539;4190484.7059000004;4313068.528300001;4442283.8218;4573225.341999999;4704147.04;4830667.2157;4960037.684699999;5088270.563000001;5217152.9055;5344824.0563;5470380.941500001;5591534.7310999995;5705160.9978;5811600.307999999;5904675.392399999;5988506.8444;6063562.682500001;6124137.0145000005;6120724.2615;6128298.5601;6151083.2761;6134654.882300001;6053888.797900001;5934559.227100001;5770637.438999999;5568845.6782;5350206.4653;5107142.054799999;4849953.4057;4585724.329;4320160.008;4049192.3111;3777505.0516999997;3503748.2900999994
01;01;01;06;414923.19060000003;397752.6732;380630.7453;363557.30509999994;346532.2452;329555.4646;312626.85939999996;295533.0805;278511.687;261562.44869999998;244685.1319;227879.50409999996;211140.55199999997;194477.98849999998;177885.5542;161363.9378;144931.4774;128588.61379999998;112313.68609999999;96109.5663;82384.1891;70435.7641;60425.84769999999;51055.81820000001;43576.984599999996;39718.687999999995;57134.4218;76626.56099999999;98015.19959999999;121821.68480000002;147688.6388;176608.43839999998;212969.7755;256811.9421;306287.0937;360849.7491;418411.9098;482060.50989999995;553121.9157;630795.5718;710107.2433;790370.4526
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.7106;137680.4957;130935.4624;124209.56979999998;117418.0519;110655.2935;103921.2027;97229.427;90567.2114;83934.09820000001;77329.99239999999;70766.6378;64233.1854;57729.7495;51256.1851;44818.1073;38409.7252;32031.532499999998;25703.7418;19405.9154;13136.074700000001;7071.3666;3535.3563;7944.4461;12661.6727;17571.194499999998;22574.724799999996;27549.5944;32486.6011;37920.7794;43591.7745;49107.397600000004;54144.5882;58538.451100000006;62452.3011;65803.2374;68579.7516;69227.7598;69697.8669
01;01;02;02;2704966.9641;2706180.7475;2721998.1841;2756364.0087;2770527.5697999997;2763687.6013;2750398.9077000003;2735169.1706;2719992.393;2704868.4189;2689762.3197999997;2674707.6143;2659704.4754999997;2644752.0462;2629838.078;2614974.0294999997;2600159.3743;2585394.3197000003;2570928.8663;2557233.9773000004;2542886.9572;2529620.5037000002;2518336.3083999995;2511029.7031;2504604.2725000004;2500886.2016;2498966.8984000003;2486467.6334;2460640.4154999997;2457446.0001999997;2478698.6967999996;2511517.6064;2557758.0726;2617954.235;2688912.785;2767565.3781;2850528.4763;2931631.4038;3010409.2085;3084824.9477000004;3161869.6511000004;3240046.9599
01;01;02;03;998485.8363;957166.0961000001;915963.2831000001;874877.1536;833907.4478;793053.9226999999;752316.3289;711181.2551;670220.3723999999;629433.1256;588818.9531;548377.2952;508107.6009000001;468009.3108;428081.8781;388324.74689999997;348737.3689;309319.2005;270069.6872;230988.30079999997;192074.4632;153327.66590000002;114747.3581;76333.0053;38084.0634;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.834;2822635.2572;2856146.1614;2870955.1409000005;2905813.2011;2961521.9363999995;3023526.8813000005;3083122.4588;3142446.4805;3201499.8331;3260303.5049;3318837.8462000005;3377104.2496;3435103.6966;3492837.9328;3550305.8526999997;3607508.7963000005;3664449.2513999995;3720869.8693;3776307.3295000005;3832183.7137999996;3886746.6541999998;3939105.0376000004;3987229.0660000006;4032133.0962;4068900.1805;4044659.6376999994;4028975.7238000003;4024489.4213000005;3995033.0707;3938485.9683000003;3866791.6011;3772989.6144;3656272.3643000005;3521738.2635;3373538.9836999997;3217101.3801999995;3055460.7901;2889368.4775;2722300.6769000003;2554101.0402;2385124.9085
01;01;02;06;273040.8814;261741.79439999998;250474.68180000002;239239.4768;228036.1085;216864.51069999998;205724.6148;194476.0256;183275.0699;172121.5958;161015.4499;149956.4786;138943.54609999998;127978.5484;117059.34659999999;106186.04010000001;95359.27410000001;84580.71040000001;73847.2948;63158.1013;52515.461899999995;41919.1339;31378.960199999998;20927.9744;12477.0069;6804.2284;14341.912199999999;23625.4871;34877.7388;48403.8011;64632.673299999995;84510.88940000001;112608.3666;149458.91820000001;193549.52800000002;244119.8832;299291.48840000003;362036.3108;432150.86699999997;508207.309;584924.9939;661494.2494999999
