branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8400521.026;8388423.511;8376344.155;8364280.948000001;8352236.899;8340209.999;8322194.3719999995;8304218.097000001;8286281.154;8268382.552999999;8250523.303;8232701.385000001;8214919.809;8197175.574;8179469.671;8161802.108;8144172.887000001;8126581.987;8109027.341;8091510.464000001;8074030.217;8056584.402;8039179.127;8021812.532000001;8004485.988;7987195.773999999;7969942.891;7952727.328000001;7935549.095000001;7918408.182;7901303.598;7884237.335000001;7867206.411;7850212.807;7833256.522;7816337.567;7799454.932;7782608.615999999;7765798.619;7749023.941;7732285.572000001
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3349692.671;3205298.107;3067128.244;2934914.2609999995;2808399.45;2687338.7860000003;2569561.711;2456946.881;2349267.522;2246306.436;2147858.195;2053724.7480000001;1963716.9050000003;1877653.853;1795362.5299999998;1716677.737;1641441.334;1569502.4309999999;1500716.1020000002;1434944.596;1372055.428;1311921.81;1254424.1420000002;1199446.2430000002;1146878.655;1096614.661;1048553.771;1002599.126;958658.5989999999;916643.797;876470.3580000001;838057.6489999999;801328.363;766208.8189999999;732628.4659999999;700519.771;669818.2300000001;640462.257;612392.7883;585553.6831;559890.8159
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.077061604E8;2.0740702170000002E8;2.0710831720000002E8;2.068100769E8;2.0651226970000002E8;2.062149064E8;2.057694672E8;2.053250464E8;2.048815541E8;2.044389701E8;2.0399741470000002E8;2.035567776E8;2.031171589E8;2.026784487E8;2.022406469E8;2.018037634E8;2.013679083E8;2.009329516E8;2.00498896E8;2.000657255E8;1.9963355E8;1.992022198E8;1.98771833E8;1.9834238860000002E8;1.979139195E8;1.974864487E8;1.9705988629999998E8;1.9663423229999998E8;1.962094966E8;1.957856481E8;1.9536270810000002E8;1.949406762E8;1.9451964170000002E8;1.940995156E8;1.936802878E8;1.932619571E8;1.9284454470000002E8;1.924280208E8;1.92012394E8;1.915976655E8;1.9118384529999998E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886975E8;3.289809187E8;3.3179699129999995E8;3.3463719620000005E8;3.375016856E8;3.401476776E8;3.428144832E8;3.455021227E8;3.4821088759999996E8;3.509409202E8;3.53692272E8;3.564652035E8;3.592598571E8;3.620764142E8;3.6491511609999996E8;3.677760244E8;3.7065940059999996E8;3.735653564E8;3.7649405690000004E8;3.794456509E8;3.78625864E8;3.7780791259999996E8;3.769917307E8;3.761774382E8;3.753648213E8;3.745539997E8;3.7374495359999996E8;3.729376929E8;3.7213210759999996E8;3.713283177E8;3.705261933E8;3.697258442E8;3.689272705E8;3.6813037229999995E8;3.673351483E8;3.665416896E8;3.657500063E8;3.649599983E8;3.6417164470000005E8;3.633850563E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.206696849E7;2.275021711E7;2.340166075E7;2.402267141E7;2.461457153E7;2.5178619000000004E7;2.5697879790000003E7;2.619087882E7;2.6658770290000003E7;2.71026618E7;2.752362053E7;2.792265041E7;2.830072779E7;2.8658774669999998E7;2.89976779E7;2.9318287759999998E7;2.9621407380000003E7;2.990781049E7;3.017823145E7;3.043338427E7;3.067393907E7;3.090055091E7;3.11138354E7;3.131439509E7;3.150278555E7;3.167955279E7;3.1845211279999997E7;3.2000258279999997E7;3.214515095E7;3.2280352270000003E7;3.2406295960000005E7;3.252339161E7;3.263204065E7;3.273260648E7;3.2825458130000003E7;3.291094159E7;3.298938383E7;3.30611075E7;3.312641025E7;3.318557567E7;3.3238884060000002E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627787.4636;5582164.84;5536911.7529;5492025.729200001;5447503.8444;5399420.347800001;5351761.5636;5304523.119699999;5257701.929599999;5211293.7935999995;5165295.3538;5119702.9657000005;5074512.9572;5029721.734999999;4985326.176899999;4941322.6188;4897706.8647;4854476.020099999;4811626.266500001;4769154.3944;4758849.819200001;4748568.5697;4738310.334199999;4728075.5835;4717862.943600001;4707672.3606;4697503.796999999;4687357.193300001;4677232.504299999;4667129.678300001;4657048.6856;4646989.4668;4636951.9733;4626936.1625;4616941.978399999;4606969.3842;4597018.332800001;4587088.7756;4577180.6667;4567293.959299999
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580236.139;4573640.153999999;4567054.252;4560477.635;4553910.101;4544073.526999999;4534258.147;4524463.648999999;4514690.436000001;4504939.016;4495208.6790000005;4485499.325999999;4475810.956;4466143.57;4456497.165000001;4446870.654;4437265.024999999;4427679.78;4418115.013;4408570.782000001;4399046.044000001;4389541.897;4380059.273;4370598.72;4361157.95;4351738.061;4342338.752;4332959.326;4323600.671;4314261.697;4304943.505;4295644.883;4286366.041999999;4277106.782;4267868.293;4258649.474;4249451.136;4240272.477;4231113.390000001;4221973.881
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;729647.1199999999;698194.5266999999;668097.6846;639298.2276999999;611740.2421;585370.1853;559715.3482;535184.9199999999;511729.5459;489302.19049999997;467857.7355;447353.0521;427747.0359;409000.29;391075.1712;373935.70310000004;357547.42169999995;341877.2665;326893.81320000003;312567.08400000003;298868.19080000004;285769.6042;273245.1366;261269.6923;249819.0933;238870.31040000002;228401.4108;218391.3171;208820.00370000003;199668.10069999995;190917.27459999998;182549.98189999998;174549.42299999998;166899.55719999998;159584.8786;152590.78770000002;145903.2608;139508.7893;133394.5694;127548.31280000001;121958.26620000001
01;01;01;04;Autre;Autre;1.0;476274.74689999997;475588.87630000006;474904.075;474220.142;473537.2682;472855.3638;472174.40760000004;471154.54170000006;470136.8559;469121.36020000005;468108.05470000004;467096.9292;466087.99370000005;465081.2383;464076.67300000007;463074.2777;462074.0714;461076.0551;460080.09890000004;459086.2587;458094.56379999995;457104.90249999997;456117.2752;455131.90080000006;454148.66839999997;453167.7189;452188.85930000007;451212.14869999996;450237.50690000004;449264.92510000005;448294.5121;447326.16790000006;446359.9726;445395.837;444433.7605;443473.84169999993;442515.9827;441560.17250000004;440606.42110000004;439654.71849999996;438705.06470000005;437757.4696
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1071569767E7;1.0594314029E7;1.0137627434E7;9700627.347;9282462.546;8882328.401999999;8493046.197;8120826.274999999;7764916.734;7424606.172;7099210.432999999;6788075.466;6490577.183000001;6206117.33;5934123.398;5674050.710999999;5425376.005999999;5187599.423;4960243.510000001;4742851.896000001;4534986.853;4336230.751;4146186.374000001;3964471.5560000003;3790721.8300000005;3624587.395;3465733.8070000005;3313841.666;3168607.283;3029737.3109999998;2896954.093;2769990.211;2648590.232;2532511.84;2421520.5039999997;2315393.4979999997;2213917.874;2116888.881;2024113.237;1935403.05;1850580.695
01;01;02;01;Autre;Autre;1.0;6671831.356000001;6662224.328;6652630.397000001;6643050.552999999;6633484.806;6623933.146000001;6614394.574;6600106.852;6585850.331;6571625.011;6557430.891;6543266.970999999;6529133.252;6515030.734;6500958.416;6486917.2979999995;6472905.38;6458923.6620000005;6444973.143;6431051.824999999;6417160.696;6403297.766;6389464.6450000005;6375660.823000001;6361888.3209999995;6348145.876;6334433.329999999;6320750.473999999;6307097.615;6293474.545;6279881.273;6266316.79;6252781.103999999;6239275.2069999995;6225799.097000001;6212351.6850000005;6198932.058999999;6185542.12;6172180.9799999995;6158849.526;6145545.859;6132271.779
01;01;02;01;Cuisson;Cuisson;1.0;2927728.991;2801523.8119999995;2680759.264;2565200.9280000003;2454624.153;2348813.5420000004;2247563.854;2149060.84;2054874.7759999998;1964816.4230000002;1878704.8879999998;1796367.625;1717638.9370000002;1642360.473;1570381.315;1501556.8960000002;1435748.578;1372824.664;1312658.092;1255128.4329999997;1200120.287;1147522.4919999999;1097229.9519999998;1049141.831;1003161.248;959195.945;917157.5689999999;876961.6119999997;838527.2849000001;801777.4219000001;766638.1783999999;733038.9284;700912.2647;670193.5976;640821.2539;612736.1782;585881.9302000001;560204.784;535653.0283;512177.1658;489730.2119;468266.99530000007
