branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.6947;251748.2911;240455.95760000002;229195.62240000002;217967.21920000002;206770.67919999998;195464.8932;184206.80519999997;172996.45070000002;161861.71289999998;150776.43249999997;139739.79099999997;128778.4404;117867.0979;107006.31290000002;96191.95689999999;85422.32300000002;74730.9048;64986.72060000001;64621.027299999994;72660.3315;81180.4856;89867.7293;98409.05439999998;107014.1273;132171.9882;156602.64929999996;178304.18480000002;198149.31670000002;215651.21819999997;230720.6785;244070.55950000003;255727.2959;265362.85949999996;273312.29250000004;279329.466;284448.7105;288587.976;291924.30280000006;292457.9306;292781.96749999997
01;01;01;02;3091525.332199999;3112179.2686000005;3153991.546000001;3222860.9014999997;3261480.1078000003;3246928.4178;3212558.7188;3169026.2956000003;3128494.1404999997;3093945.879399999;3060798.5690000006;3032998.1352999997;3010793.6037000003;3013402.7340999995;3025891.815;3047021.1262000003;3078595.9507999993;3115158.8898000005;3160429.8803;3225185.1915;3345829.3863;3467927.8176999995;3589778.8126;3711681.7873000004;3833483.334800001;3954253.0294000003;4026399.8177000014;4081976.236499999;4116409.6689999998;4182327.1795999995;4301616.788300001;4444050.403399999;4595970.516399999;4747490.987299999;4895664.474;5045010.226199999;5190988.224199999;5327543.401600001;5435930.351999998;5530516.1375;5619930.050199999;5698676.317399999
01;01;01;03;1317058.3889999997;1262555.3521000003;1208206.5485999999;1154011.6571;1099970.3351;1046082.2621;992347.1083;938087.6568;884057.9730000002;830257.3242000001;776684.9702999999;723340.1729;670222.2052999999;617330.3267;564663.8187999999;512221.95050000004;460003.9939;408009.23419999995;356236.94230000005;304686.418;253356.9026;202247.72140000004;151358.14890000003;100687.4811;50234.9991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.1410000003;3670474.5311;3698920.699100001;3700093.3729;3731300.2731;3815462.6111000003;3919227.9748;4026749.3872000007;4130960.828300001;4228879.692799999;4325061.8862000005;4415588.1172;4500211.5496000005;4559687.9785;4608975.2793;4649316.8673;4678893.556499999;4700357.091200001;4711524.8295;4701011.013200002;4623730.3914;4530912.9541;4432761.377800001;4330781.3007;4226048.817500001;4119246.7565999995;3967699.5470000003;3830593.1427;3715136.6503;3567519.1637;3367167.4262;3144516.2244;2911331.4849;2677360.2459;2445955.0085999994;2212626.4869999997;1983533.0478000003;1759653.6548999995;1559369.2124;1368223.4260000002;1184227.0711999997;1011019.6400000001
01;01;01;06;414923.1906;397752.67319999996;380630.7453;363557.3051;346532.2452;329555.46470000007;312626.8596000001;295533.0805;278511.6872;261562.44879999995;244685.13189999998;227879.50410000002;211139.84149999995;194476.5892;177884.35920000006;161363.196;144930.04559999998;131392.60330000005;119176.28199999999;108016.84030000003;98181.24279999999;93836.441;94397.8741;98391.5247;105194.5559;114983.3774;151448.6655;190804.3241;232413.49320000003;276586.4118;322471.37509999995;369959.77270000003;420239.69599999994;473438.841;529478.0033000001;587991.5209000001;647590.9155999998;712315.2322999999;782641.7418999999;858457.8735000001;935122.4628000001;1011919.0205000002
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.71060000002;137680.4957;130935.4622;124209.56959999999;117418.05170000001;110655.29340000001;103921.2026;97229.1085;90566.449;83932.7677;77328.0236;70763.94789999998;64229.67669999999;57725.32190000001;51250.741599999994;44811.5267;39188.705;39447.8583;41655.1493;44924.3647;48328.9129;52005.42850000001;56674.794;72163.97039999999;86945.07699999999;100603.34629999999;113344.27360000001;123808.6427;132729.6397;140859.87139999997;148076.9157;154384.4349;159739.30200000003;164173.56379999997;167998.3949;171158.42199999996;173725.3133;174138.92269999997;174375.84370000003
01;01;02;02;2704966.9641;2706180.7475;2721998.1840999997;2756364.0087;2770527.5698000006;2764225.8271000003;2751811.4461999997;2736578.6579000005;2721398.8358000005;2706271.8238;2691714.9038;2680385.302;2672292.283399999;2672185.3039;2680535.9110999997;2693362.7564999997;2710872.6711;2734260.2852;2766475.619699999;2814396.0149000008;2912604.2153;3015863.5716999997;3118803.8377;3222817.3378999997;3326110.5697999997;3428480.9743000004;3508227.6958000003;3575360.936599999;3626835.283;3698092.6133000003;3790048.1217000005;3888726.2781999996;3986916.7638999997;4082387.0885999994;4175915.5503000007;4266998.438200001;4353150.6163;4430353.8646;4494197.0852999985;4545104.868900001;4594410.7837000005;4639453.337900001
01;01;02;03;998485.8363;957166.0961000001;915963.2831;874877.1535999998;833907.4478000001;793053.9229;752316.3289999999;711181.2552;670220.3725;629433.1257;588818.9532999999;548377.2955;508107.60109999997;468009.30929999996;428081.8768;388324.7451;348737.36730000004;309319.19909999997;270069.6861;230988.29910000003;192074.46279999998;153327.6649;114747.35720000001;76333.0051;38084.06210000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.8339999993;2822635.2572000003;2856146.1614;2870955.1409000005;2905813.2010999997;2960983.7105999994;3022114.3429000005;3081712.9716999996;3141040.0378;3200096.4282;3258352.1771;3313162.8291000007;3364520.609800001;3407675.1393;3442145.2582;3471922.8172999998;3496802.3170000007;3515590.4453999996;3525329.6184000005;3518365.6728999997;3455048.4897000003;3382191.1113000005;3304839.271;3224577.193299999;3141751.9387999997;3055884.0664999997;2926537.9151000003;2807821.6898000003;2703583.0725;2578010.2603999996;2431315.6274;2276535.1089;2118172.9192000004;1957060.5986000001;1793658.6607;1629220.0151;1467346.685;1308530.9056;1157381.1167;1014200.2069;874533.0142;739967.7375
01;01;02;06;273040.8814;261741.79439999996;250474.68180000002;239239.47680000003;228036.10849999997;216864.51069999996;205724.61479999998;194476.02560000002;183275.0699;172121.59590000001;161015.44989999998;149956.47879999998;138944.53240000003;127978.51590000001;117059.288;106185.9199;95360.11869999999;84580.53830000001;73848.11349999999;63159.87210000001;52515.15609999999;44278.517900000006;39656.7455;36595.3864;36414.6616;39082.993899999994;58980.1747;81599.67640000001;106553.94649999999;134007.3363;164191.4373;197312.5774;235324.2011;279749.6034000001;329346.24199999997;383407.9955;440785.8565;504694.57560000004;574992.1103000001;650879.2503;727037.6695;802564.009
01;01;03;01;472847.2787000001;453279.7235;433767.54099999997;414310.61519999994;394908.8236;375562.0513;356270.17999999993;336790.0762;317587.01730000007;298454.9409;279941.2173;262163.1067;244870.4398;227657.54439999998;210401.97879999998;199583.02980000002;188775.80529999998;181230.9053;186767.1034;203745.40020000003;216826.5336;224766.03639999995;237881.1453;246657.59960000005;252984.7251;255174.1462;290897.48370000004;324881.3596;353586.43700000003;377797.84160000004;398581.05289999995;415498.00580000004;430298.68950000004;442390.58970000007;452421.2265;460122.22140000004;466047.3254000001;470199.2439000001;471119.93020000006;471365.6405;464928.4831000001;458664.47449999995
01;01;03;02;8913909.589599999;8546769.6082;8180949.296500002;7835867.0361;7500486.648800001;7158057.4474;6808532.812599999;6514613.306000002;6252271.8295;6002415.935899999;5823084.824999999;5663132.4564;5552531.753100002;5545489.588199998;5636557.537300003;5766299.094100001;5921504.593900001;6207031.5852999985;6503129.6298;6811100.739599999;7153743.912600001;7489868.275800001;7838755.045000001;8206706.403899999;8600852.4207;9073682.427400002;9744943.888099998;1.0363877133899998E7;1.0964401581899999E7;1.15524716162E7;1.2137021790199997E7;1.27137711299E7;1.3227543521500003E7;1.3700529492999999E7;1.4129213518799998E7;1.4469995239199998E7;1.4770659665800003E7;1.4993737214699998E7;1.5090241765699996E7;1.5078078849900002E7;1.5016392179599999E7;1.4924828237299994E7
01;01;03;03;3679917.909;3527634.0742;3375781.1745;3224358.3113999995;3073364.5287;2922798.9296999997;2772660.5944000003;2621057.35;2470095.3352;2319774.0497000003;2170090.6291;2021042.0408;1879450.8179;1735497.1975;1587436.1577;1441264.2077;1294335.0572000002;1148032.1506999999;1002355.6059;857304.4020999998;712874.3789;569061.3798999999;425871.4951;283299.5117;142123.71320000006;761.4335;39.698;64.2226;141.21710000000002;192.1413;232.38330000000002;451.5618;667.6695;906.4566;1131.3923;1329.6336999999999;1362.8708000000001;1388.9977;1441.187;1438.0738000000001;1434.9674;1431.8681
01;01;03;04;6771768.216999999;7323424.3237;7873195.081199999;8401665.7607;8919871.9125;9444565.742800001;9975795.074100003;1.0438623658400001E7;1.0868868015399998E7;1.1285828776399996E7;1.1630871930000002E7;1.1955104999599995E7;1.2221829246799998E7;1.2387132354300002E7;1.24582198244E7;1.2482058137100004E7;1.24811041641E7;1.2345628906299995E7;1.2185676534900002E7;1.1987021870700004E7;1.17579425235E7;1.15348160449E7;1.1296095165500002E7;1.1037397169399997E7;1.0748515392800001E7;1.0393942821799997E7;9597906.349499997;8847982.4359;8123653.378;7416435.057600002;6711623.014500001;6009540.6389;5368440.4043;4759596.0457000015;4165700.591199999;3639634.1132000005;3136270.469100001;2682943.7188000004;2315948.8232000005;2020979.2165000003;1760333.3955000006;1510920.3688000003
01;01;03;06;1032288.8184;989570.2296999998;946970.2068999999;904489.9255;862131.2636000001;819893.6808999999;777776.3843;735248.2272;692899.8448;650731.0908;608772.1270000001;566987.2566;525507.1153000001;484262.5439;443365.89890000003;402819.81669999997;362440.94450000004;322465.6916;282788.43650000007;257953.7131;232241.38999999998;211705.81759999998;188256.7463;169551.9133;155950.1033;136032.67150000003;186407.33500000002;240882.49779999995;293413.6298;345859.09489999997;402896.81729999994;468724.12570000003;538826.9613000001;620181.3064;733017.156;868417.7272;1023270.9981000002;1207584.8599;1435519.7581000002;1701131.1134000001;1988783.2311000004;2295037.0508999997
01;01;04;01;0.0;1914.6814000000002;6421.545800000001;16578.300699999996;27502.687400000003;36759.7825;47387.8266;47387.826600000015;47387.82669999999;47387.826700000005;47387.826700000005;47387.826700000005;47387.8267;47387.8267;47387.82670000001;47387.8267;47387.82670000001;47387.826700000005;47387.826700000005;47387.8267;47387.8267;47387.82669999999;47387.826700000005;47387.826700000005;47387.8267;47387.82670000001;57384.9824;64629.3474;65478.57450000002;65734.2772;68047.6886;65747.997;65747.99699999999;65747.99700000002;65747.997;65747.997;65747.99699999999;65747.99699999999;65747.997;65747.997;65747.99710000001;65747.99710000001
01;01;04;02;0.0;178452.35110000003;398110.9514000001;662427.7109000001;807791.0443000002;932820.4747000001;1018102.6321000002;1018102.6324000004;1018102.6326;1018102.6326;1018102.6326999998;1018102.6330000004;1018102.633;1018102.633;1018102.6331;1018102.6331000001;1018102.6332;1018102.6333;1018102.6334;1018102.6335000002;1018102.6334999999;1018102.6336000002;1018102.6336000002;1018102.6335999998;1018102.6335999997;1018102.6337000002;1333295.9873999995;1618710.6187000007;1873323.8838000002;2248147.3556999993;2642648.9988;3076456.3542;3076456.3542;3076456.3542;3076456.3543;3076456.3543000002;3076456.3543999987;3076456.354400001;3076456.354500001;3076456.3547000005;3076456.3548000003;3076456.354899998
01;01;04;03;0.0;0.0;0.0;0.0;0.0;0.0;12968.945799999998;12968.945799999998;12968.9458;12968.945800000001;12968.945799999998;12968.945899999999;12968.945899999999;12968.945899999999;12968.945900000002;12968.9459;12968.945900000002;12968.945900000002;12968.945899999999;12968.9459;12968.945900000002;12968.946;12968.945999999998;12968.945999999998;12968.946;12968.946000000002;12968.946;12968.946;12968.946000000002;12968.946;12968.945999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;04;04;0.0;415549.93970000005;796669.4714000004;1135770.5103;1592349.2513000004;2079683.8661;2599440.5389;2599440.5388999996;2599440.5389;2599440.539000001;2599440.5391;2599440.5392;2599440.5394;2599440.5393999997;2599440.5394999995;2599440.5394999995;2599440.5396000003;2599440.5396999996;2599440.5398999997;2599440.539899999;2599440.5399999996;2599440.5400000005;2599440.5399999996;2599440.5400000005;2599440.5400999994;2599440.540100001;2264104.3154999996;1958803.9648000004;1689852.1809999994;1304560.8178999997;891176.3489999998;460736.25399999996;460736.2540000001;460736.254;460736.25399999996;460736.254;460736.25399999996;460736.25399999996;460736.25399999996;460736.254;460736.254;460736.25409999996
01;01;04;06;0.0;3873.9356;7370.981;11718.4441;26065.3956;41103.00069999999;58727.59539999999;58727.595499999996;58727.5955;58727.59559999999;58727.59590000001;58727.59589999999;58727.596000000005;58727.59620000001;58727.59619999999;58727.59620000001;58727.5962;58727.5962;58727.59629999999;58727.596300000005;58727.596300000005;58727.5963;58727.5963;58727.596300000005;58727.596300000005;58727.5963;68873.31759999998;81514.6838;95003.9943;105216.18280000001;121785.6033;133686.95849999998;133686.9585;133686.9585;133686.9585;133686.95849999998;133686.95849999995;133686.9585;133686.95849999998;133686.9585;133686.95849999998;133686.95870000002
01;01;05;01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9095.1897;25797.3425;44578.612700000005;66063.03759999998;90652.9933;90652.9933;90652.99340000002;90652.99340000002;90652.9934;90652.9934;90652.99339999999;90652.99339999999;90652.9935;90652.99350000001;90652.99350000001;90652.9935;90652.99350000001;90652.9935;90652.99349999998;90652.9936;90652.9936;90652.9936;90652.9936;90652.99360000002;90652.99359999999;81557.80380000001;64855.65099999999;46074.3808;24589.9557;0.0;0.0;0.0;0.0;0.0;0.0
01;01;05;02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40984.410200000006;87916.72400000002;138697.44199999998;194529.8279;256401.30959999998;256401.30969999998;256401.30980000002;256401.30980000008;256401.30979999993;256401.30989999996;256401.30999999997;256401.3101;256401.31020000004;256401.31019999998;256401.31030000004;256401.31029999998;256401.31030000004;256401.3103;256401.31039999996;256401.31050000005;256401.31050000002;256401.3105;256401.31050000002;256401.31050000002;256401.3105;549111.7703000001;830122.1511000004;1104150.7029999997;1366856.4877;1612335.4801000003;1612335.4801999996;1612335.4802;1612335.4803000006;1612335.4803000002;1612335.4803000004
01;01;05;03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16204.820000000002;25733.528500000004;34342.5336;42043.9914;48827.116;48827.11600000001;48827.11600000001;48827.11600000001;48827.116;48827.11610000001;48827.1161;48827.1161;48827.1161;48827.11610000001;48827.11610000001;48827.11610000001;48827.11609999999;48827.1162;48827.1162;48827.11620000001;48827.116200000004;48827.11619999999;48827.1162;48827.116200000004;48827.116200000004;32622.296099999996;23093.5876;14484.5824;6783.1245;0.0;0.0;0.0;0.0;0.0;0.0
