branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;263072.6947;251748.2911;240455.95769999997;229195.62250000003;217967.2193;206770.6793;195464.8933;184206.9832;172996.79599999997;161834.17789999998;150718.81160000002;139650.69480000003;128629.6903;117655.8632;106766.725;95926.54079999999;85134.0912;74390.49989999998;63694.653;53046.7338;42446.543;31893.900600000004;21389.4525;11438.594199999998;1916.2707;3820.0278999999996;5633.4089;7351.937099999999;8298.0839;9188.0497;10040.455299999998;10745.2478;11403.2667;12004.6836;12505.7882;12858.133;12898.0274;12935.9197;12968.5852;12956.4039;12938.6073
01;01;01;02;3091525.332199999;3112179.2686;3153991.5442000004;3222860.908999999;3261480.1152999997;3246928.4244;3212558.719799999;3166226.873599999;3121621.770499999;3076395.5717999996;3026571.8099000016;2975280.5547;2920885.8106;2860804.6303;2795321.5593999997;2731666.2774999994;2663272.3066;2595976.8195999996;2526876.4963000007;2457419.3356000003;2388133.9327000002;2320364.9172000005;2251731.8914;2183423.8863999997;2117655.614999999;2050226.2484999998;1962732.8184999998;1852057.8053;1715426.8879000002;1606782.8383000002;1547386.2676000001;1505699.2091;1473404.0068999997;1439838.8439;1407109.5030000003;1379858.9729999998;1354996.9327;1334798.2767;1321815.3481000003;1316737.0375000003;1313467.1682;1320812.7917000002
01;01;01;03;1317058.3889999997;1262555.3521;1208206.5485999999;1154011.6570000001;1099970.3350000002;1046082.2620999999;992347.1083;938087.6571000001;884057.9734;830257.3247;776684.9707999999;723340.1732;670222.2055999999;617330.3298;564663.8241;512221.95449999993;460003.9994;408009.24150000006;356236.94840000005;304686.42339999997;253356.90679999997;202247.7248;151358.15279999998;100687.48340000001;50234.9987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.1410000003;3670474.5311;3698920.7009000005;3700093.3654;3731300.2657999992;3815462.6045999997;3919227.9738999996;4029548.8086000006;4137833.1982000005;4246430.011;4359316.7546999995;4473364.3992;4590209.9470999995;4712437.381;4839761.9439;4964918.2689;5094510.1506;5222699.979499999;5352392.668100001;5482141.483499999;5611417.2348;5738876.971399999;5866901.989800002;5994301.501599999;6118359.009699998;6242972.968700002;6309817.4991;6399956.8239;6516168.320799999;6604605.295499999;6644044.7113;6665911.4347;6678674.474100002;6692741.541;6706064.167900001;6714100.869400001;6719944.9443;6721488.209500001;6715893.7816;6702488.8381;6687336.3089;6661211.756000001
01;01;01;06;414923.1906;397752.6732;380630.7453;363557.3051;346532.2452;329555.4648;312626.8597000001;295533.08060000004;278511.6871;261562.44869999998;244685.13150000002;227879.50329999995;211145.33480000007;194482.39390000002;177890.45330000002;161369.2819;144918.65189999994;128538.33729999998;112228.10789999996;95987.74390000002;79817.00550000001;63714.76279999998;47678.45970000001;31712.975300000006;15816.586700000002;432.1429;1258.8984;2101.5343;2961.3598;4419.763;5722.8932;6965.1219;8105.089;9295.9682;10490.1748;11629.8518;12760.380700000002;13878.669600000001;14958.7195;15987.5968;17038.107;18488.312700000002
01;01;02;01;164852.8561;158030.8494;151228.1475;144444.71060000002;137680.4957;130935.4623;124209.5697;117418.05180000002;110655.29330000002;103921.2024;97215.6868;90538.6538;83890.0125;77269.6706;70677.53769999999;64113.5221;57577.5331;51068.737499999996;44598.762;38157.1458;31752.7215;25377.3887;19031.3807;12714.837200000002;6428.3698;144.8958;172.1235;197.2278;222.5628;248.2198;274.0432;299.9994;326.2907;352.8026;379.6689;401.7396;423.5191;444.886;465.6684;485.9178;505.3825;528.5047
01;01;02;02;2704966.9641;2706180.7475;2721998.1857999996;2756364.0053;2770527.5638;2764225.8216;2751811.4410999995;2736578.6528999996;2721398.8308999995;2706271.8189;2691197.458;2676175.5917999996;2661206.0645999997;2646288.7195999995;2631423.4021;2616609.8957;2601847.5730999997;2587093.4152;2570742.8681;2553080.1958;2533703.1774999998;2513682.501900001;2492843.150599999;2472724.1506000003;2453642.5445999997;2433454.2314;2404147.3228;2356398.6751000006;2289028.068;2237959.5459999996;2203130.9372;2170672.3068;2136144.4052000004;2098390.1442;2057538.1556;2013708.7039;1967601.7145999998;1920199.7292;1872641.0448000003;1825470.6149;1779859.3136000002;1737960.1792
01;01;02;03;998485.8363;957166.0961000001;915963.2831000001;874877.1535;833907.4477;793053.9228;752316.3288999998;711181.2551;670220.3724;629433.1255999999;588818.9533;548377.2954000001;508107.60099999997;468009.3108999999;428081.8780999999;388324.74679999996;348737.36880000005;309319.2006;270069.6872;230988.30010000002;192074.46389999997;153327.66809999998;114747.3607;76333.00709999999;38084.064000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;02;04;2774366.8339999993;2822635.2572;2856146.1597;2870955.1445000004;2905813.2073;2960983.7161999997;3022114.348200001;3081712.977;3141040.0431999997;3200096.4339;3258883.0449;3317400.7707000007;3375650.4907000004;3433633.098099999;3491348.7996;3548799.1989000007;3605984.9453000003;3662950.4519999996;3721289.9523;3780730.2727000006;3841663.747900001;3903030.147;3965004.9468999994;4026046.434200001;4085840.0988000007;4146559.7925;4161626.3274999997;4195167.426500001;4248360.895899999;4285282.5185;4305994.5632;4324366.9318;4344838.606900001;4367826.175999999;4393519.986900001;4421436.959;4451442.653700002;4482577.517999999;4513762.8696;4544296.7959;4573078.2733000005;4597426.378899999
01;01;02;06;273040.8814;261741.79439999996;250474.68180000002;239239.47680000003;228036.10849999997;216864.51069999996;205724.61479999998;194476.02560000002;183275.0699;172121.5957;161015.44979999997;149956.47879999998;138944.53240000003;127979.45680000001;117061.1033;106189.3196;95363.9558;84583.9449;73850.1865;63163.43450000001;52521.59639999999;41924.70950000001;31372.195400000004;20867.177700000004;10407.749700000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;740.5525;1902.4659;3853.6589;6024.0694;8390.7666;10894.225699999999;13691.316200000001;16712.3545;20480.722800000003
