branche;occupation;periodeSimple;energieUsage;usage;usageSimple;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;01;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Bureautique;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Froid_alimentaire;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Process;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;03;Cuisson;Cuisson;2.0664203152649996E8;1.9773436951999998E8;1.8921071673569998E8;1.810544725266E8;1.7324981970670003E8;1.657816056091E8;1.586353202163E8;1.5168285936219996E8;1.4503511332E8;1.386787096489E8;1.326008936255E8;1.2678941461349998E8;1.212326020521E8;1.159193749139E8;1.1083900975600001E8;1.059813058132E8;1.013365126952E8;9.689529114579998E7;9.264863897860001E7;8.858809158990002E7;8.470556198740001E7;8.09931795723E7;7.74434021707E7;7.40492432942E7;7.0803767023E7;6.770308182419999E7;6.4735867431600004E7;6.189870198239999E7;5.91858724172E7;5.65919376522E7;5.411243355859999E7;5.1741767942999996E7;4.947502443179999E7;4.73075015544E7;4.523468022319999E7;4.3252644732099995E7;4.135729374E7;3.9544817827E7;3.78117354832E7;3.61545106464E7;3.4569938308000006E7;3.30548087711E7
01;01;01;04;Autre;Autre;9.76363231145E7;9.74957196415E7;9.7355335375E7;9.721512911000001E7;9.7075139981E7;9.6935349579E7;9.6795753558E7;9.65866810485E7;9.63780554595E7;9.6169878841E7;9.59621512135E7;9.575484568100001E7;9.554797761850001E7;9.53415929665E7;9.513565708E7;9.4930166023E7;9.47251239365E7;9.45205306155E7;9.431631469950001E7;9.4112537258E7;9.39092489465E7;9.37063827505E7;9.350383243900001E7;9.33017859765E7;9.3100031844E7;9.29017100265E7;9.27010294585E7;9.250079082949999E7;9.230097288100001E7;9.210156712599999E7;9.19036635905E7;9.1706493094E7;9.15098258725E7;9.131345542949998E7;9.11170931865E7;9.0921028747E7;9.072513259200001E7;9.052931780150001E7;9.033385964950001E7;9.013863206099999E7;8.994385912150002E7;8.9749464981E7
01;01;01;04;Cuisson;Cuisson;2.3719173343E9;2.269671802235E9;2.1718343759449997E9;2.0782136239699998E9;1.9886286061350002E9;1.90290482193E9;1.82087732241E9;1.741074470385E9;1.664769386375E9;1.59180793047E9;1.5220442652600002E9;1.455337745165E9;1.39155454188E9;1.33056743302E9;1.272253201695E9;1.216494482535E9;1.16317961655E9;1.11220133667E9;1.06345664331E9;1.01684827996E9;9.722831649350001E8;9.296710381700001E8;8.8892523571E8;8.49965810425E8;8.12712645035E8;7.7711831361E8;7.43059803645E8;7.10493906265E8;6.7935513627E8;6.4958101212E8;6.211192594300001E8;5.93906818355E8;5.6788713411E8;5.43006436835E8;5.19213602195E8;4.9646257489E8;4.7470706633E8;4.5390305174E8;4.3401030971000004E8;4.1498866741499996E8;3.968007593E8;3.794097852E8
